author,year,meta_author,used_in_fig
Arrondo et al.,2015,Ng,1
Bremner et al.,2007,Ng,0
Burger et al.,2017,Ng,1
Chantiluke et al.,2012,Ng,1
Chase et al.,2013,Ng,1
Demenescu et al.,2011,Ng,1
Dichter et al.,2012,Ng,1
Elliott et al.,2002,Ng,1
Engelmann et al.,2017,Ng,0
Fournier et al.,2013,Ng,1
Fu et al.,2004,Ng,1
Fu et al.,2007,Ng,1
Fu et al.,2008,Ng,0
Gotlib et al.,2005,Ng,1
Gradin et al.,2015,Ng,1
Hall et al.,2014,Ng,1
Johnston et al.,2015,Ng,1
Keedwell et al.,2005,Ng,1
Knutson et al.,2008,Ng,1
Kumari et al.,2003,Ng,1
Laurent et al.,2013,Ng,0
Liu et al.,2017,Ng,0
Murrough et al.,2015,Ng,1
Pizzagalli et al.,2009,Ng,1
Remijnse et al.,2009,Ng,1
Rizvi et al.,2013,Ng,1
Rosenblau et al.,2012,Ng,0
Scheuerecker et al.,2010,Ng,0
Schiller et al.,2013,Ng,0
Segarra et al.,2016,Ng,1
Sharp et al.,2014,Ng,1
Smoski et al.,2011,Ng,1
Smoski et al.,2009,Ng,1
Surguladze et al.,2010,Ng,1
Surguladze et al.,2005,Ng,1
Townsend et al.,2010,Ng,0
Wagner et al.,2015,Ng,1
Wang et al.,2008,Ng,0
Young et al.,2016,Ng,1
Zhang et al.,2017,Ng,1
Zhong et al.,2011,Ng,0
Admon et al.,2015,Keren,1
Arrondo et al.,2015,Keren,0
Casement et al.,2016,Keren,0
Chan et al.,2016,Keren,0
Chandrasekhar Pammi et al.,2015,Keren,0
Chung & Barch,2015,Keren,0
Dichter et al.,2012,Keren,1
Dillon et al.,2014,Keren,1
Felder et al.,2012,Keren,0
Forbes et al.,2009,Keren,0
Forbes et al.,2010,Keren,0
Gorka et al.,2014,Keren,0
Gotlib et al.,2010,Keren,0
Gradin et al.,2011,Keren,1
Hagele et al.,2015,Keren,0
Johnston et al.,2015,Keren,1
Knutson et al.,2008,Keren,1
Luking et al.,2016,Keren,1
Mori et al.,2016,Keren,0
Olino et al.,2011,Keren,0
Olino et al.,2014,Keren,0
Pizzagalli et al.,2009,Keren,1
Redlich et al.,2015,Keren,0
Remijnse et al.,2009,Keren,1
Robinson et al.,2012,Keren,1
Rzepa et al.,2017,Keren,0
Satterthwaite et al.,2015,Keren,0
Schiller et al.,2013,Keren,0
Segarra et al.,2016,Keren,1
Sharp et al.,2014,Keren,1
Smoski et al.,2009,Keren,1
Smoski et al.,2011,Keren,1
Steele et al.,2007,Keren,0
Stoy et al.,2012,Keren,0
Stringaris et al.,2015,Keren,0
Ubl et al.,2015 a,Keren,0
Ubl et al.,2015 b,Keren,0
Yang et al.,2016,Keren,0
Kumari et al.,2003,Zhang,1
Mitterschiffthaler et al.,2003,Zhang,1
Canli et al.,2004,Zhang,1
Gotlib et al.,2005,Zhang,1
Keedwell et al.,2005,Zhang,1
Surguladze et al.,2005,Zhang,1
Epstein et al.,2006,Zhang,1
Fu et al.,2007,Zhang,1
McCabe et al.,2009,Zhang,1
Derntl et al.,2011,Zhang,1
Fournier et al.,2013,Zhang,1
Robinson et al.,2012,Zhang,1
Knutson et al.,2008,Zhang,1
Kumar et al.,2008,Zhang,1
Forbes et al.,2009,Zhang,1
Pizzagalli et al.,2009,Zhang,1
Remijnse et al.,2009,Zhang,1
Smoski et al.,2009,Zhang,1
Dichter et al.,2012,Zhang,1
Gradin et al.,2011,Zhang,1
Smoski et al.,2011,Zhang,1
Chantiluke et al.,2012,Zhang,1
